Category,Sentence,Pattern,Highlights
To be (ser/estar),E o final é muito chato.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Connecting words,E o final é muito chato.,clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,Ela só faz um Não dá nenhuma espolha.,Subject + verb (present),"{""verbs"": [""faz""]}"
Numbers,Ela só faz um Não dá nenhuma espolha.,noun + verb + number + noun,"{""special"": [""um""]}"
Adverbs of frequency,Ela só faz um Não dá nenhuma espolha.,Subject + adverb + verb,"{""special"": [""só""]}"
Questions,Por que não?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Prepositions,Por que não?,noun + preposition + noun,"{""special"": [""por""]}"
Present simple,Porque a Bluey não sabe o final.,Subject + verb (present),"{""verbs"": [""sabe""]}"
Negation,Porque a Bluey não sabe o final.,não + verb,"{""special"": [""não"", ""sabe""]}"
Prepositions,Porque a Bluey não sabe o final.,noun + preposition + noun,"{""special"": [""a""]}"
Connecting words,Porque a Bluey não sabe o final.,clause + and/but/because + clause,"{""special"": [""porque""]}"
Present simple,"Unicórcio, eu quero te transformar em um unicórnio legal.",Subject + verb (present),"{""verbs"": [""quero""]}"
Prepositions,"Unicórcio, eu quero te transformar em um unicórnio legal.",noun + preposition + noun,"{""special"": [""em""]}"
Numbers,"Unicórcio, eu quero te transformar em um unicórnio legal.",noun + verb + number + noun,"{""special"": [""um""]}"
Present simple,"Por favor, continua, Milly.",Subject + verb (present),"{""verbs"": [""continua""]}"
Prepositions,"Por favor, continua, Milly.",noun + preposition + noun,"{""special"": [""por""]}"
Present simple,Eu não vou estragar o final.,Subject + verb (present),"{""verbs"": [""vou""]}"
Negation,Eu não vou estragar o final.,não + verb,"{""special"": [""não"", ""vou""]}"
Present simple,Ela faz sapatos.,Subject + verb (present),"{""verbs"": [""faz""]}"
Present simple,"Um dia, a rainha decidiu sair da casinha e dar uma volta.",Subject + verb (present),"{""verbs"": [""da""]}"
Prepositions,"Um dia, a rainha decidiu sair da casinha e dar uma volta.",noun + preposition + noun,"{""special"": [""a"", ""da""]}"
Connecting words,"Um dia, a rainha decidiu sair da casinha e dar uma volta.",clause + and/but/because + clause,"{""special"": [""e""]}"
Numbers,"Um dia, a rainha decidiu sair da casinha e dar uma volta.",noun + verb + number + noun,"{""special"": [""um"", ""uma""]}"
Past simple,Mudei de ideia.,Pronouns + verb (past),"{""verbs"": [""Mudei""]}"
Prepositions,Mudei de ideia.,noun + preposition + noun,"{""special"": [""de""]}"
Past simple,Mudei de novo.,Pronouns + verb (past),"{""verbs"": [""Mudei""]}"
Prepositions,Mudei de novo.,noun + preposition + noun,"{""special"": [""de""]}"
Present simple,"Na verdade, eu vou.",Subject + verb (present),"{""verbs"": [""vou""]}"
Prepositions,"Na verdade, eu vou.",noun + preposition + noun,"{""special"": [""na""]}"
Present simple,"Não, não vou.",Subject + verb (present),"{""verbs"": [""vou""]}"
Negation,"Não, não vou.",não + verb,"{""special"": [""não"", ""vou""]}"
Present simple,Eu vou sim.,Subject + verb (present),"{""verbs"": [""vou""]}"
Present simple,"Sabe, Tess?",Subject + verb (present),"{""verbs"": [""Sabe""]}"
Questions,"Sabe, Tess?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Present simple,"Para, Unicórcio.",Subject + verb (present),"{""verbs"": [""Para""]}"
Present simple,Esse também Podemos continuar?,Subject + verb (present),"{""verbs"": [""Podemos""]}"
Modal verbs,Esse também Podemos continuar?,pronouns + poder + verb,"{""special"": [""Podemos""]}"
Questions,Esse também Podemos continuar?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Adverbs of frequency,Esse também Podemos continuar?,Subject + adverb + verb,"{""special"": [""também""]}"
Prepositions,Então a rainha deu alguns passos e pisou num espinho.,noun + preposition + noun,"{""special"": [""a"", ""num""]}"
Connecting words,Então a rainha deu alguns passos e pisou num espinho.,clause + and/but/because + clause,"{""special"": [""então"", ""e""]}"
Present simple,"Unicórcio, isso é maldade!",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"Unicórcio, isso é maldade!",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Personal information,"Unicórcio, isso é maldade!",I + verb + personal detail,"{""special"": [""é""]}"
Questions,O que você sentiria se pisassem um espinho?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Numbers,O que você sentiria se pisassem um espinho?,noun + verb + number + noun,"{""special"": [""um""]}"
Prepositions,Ia chorar que nem a rainha!,noun + preposition + noun,"{""special"": [""a""]}"
Connecting words,Ia chorar que nem a rainha!,clause + and/but/because + clause,"{""special"": [""nem""]}"
Present simple,Acho que ela devia usar sapato!,Subject + verb (present),"{""verbs"": [""Acho""]}"
Gerund,Continuando.,be + verb-ing,"{""verbs"": [""Continuando""]}"
Past simple,A rainha descobriu que o reino inteiro estava coberto de espinhos.,Pronouns + verb (past),"{""verbs"": [""descobriu""]}"
To be (ser/estar),A rainha descobriu que o reino inteiro estava coberto de espinhos.,Subject + ser/estar + noun/adjective,"{""special"": [""estava""]}"
Prepositions,A rainha descobriu que o reino inteiro estava coberto de espinhos.,noun + preposition + noun,"{""special"": [""a"", ""de""]}"
Questions,O que ela ia fazer?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Adverbs of frequency,"Oh, já sei!",Subject + adverb + verb,"{""special"": [""já""]}"
Questions,Qual sua comida favorita?,Question word + aux + subject + verb,"{""special"": [""qual""]}"
Possessives,Qual sua comida favorita?,possessive + noun,"{""special"": [""sua""]}"
Present simple,É brincadeira!,Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),É brincadeira!,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Personal information,É brincadeira!,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Gosto de frango frito!,Subject + verb (present),"{""verbs"": [""Gosto""]}"
Prepositions,Gosto de frango frito!,noun + preposition + noun,"{""special"": [""de""]}"
Present simple,Aqui tem frango frito!,Subject + verb (present),"{""verbs"": [""tem""]}"
Personal information,Aqui tem frango frito!,I + verb + personal detail,"{""special"": [""tem""]}"
Present simple,É muita gentileza!,Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),É muita gentileza!,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Personal information,É muita gentileza!,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,"Tá, vamos continuar, então!",Subject + verb (present),"{""verbs"": [""vamos""]}"
